Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Mother-to-child HIV transmission rate,Total,2010,44.84,Units,Rate per 100 of Population,Estimated value,Free,41.03,49.22,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2011,44.7,Units,Rate per 100 of Population,Estimated value,Free,41.29,48.79,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2012,44.73,Units,Rate per 100 of Population,Estimated value,Free,41.3,49.29,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2013,44.05,Units,Rate per 100 of Population,Estimated value,Free,40.09,49.61,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2014,43.89,Units,Rate per 100 of Population,Estimated value,Free,39.62,48.34,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2015,43.95,Units,Rate per 100 of Population,Estimated value,Free,40.05,48.84,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2016,43.7,Units,Rate per 100 of Population,Estimated value,Free,38.93,49.05,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2017,42.71,Units,Rate per 100 of Population,Estimated value,Free,37.08,48.03,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2018,42.79,Units,Rate per 100 of Population,Estimated value,Free,37.33,48.31,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Afghanistan,Mother-to-child HIV transmission rate,Total,2019,42.59,Units,Rate per 100 of Population,Estimated value,Free,35.68,47.73,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2000,34.48,Units,Rate per 100 of Population,Estimated value,Free,32.62,37.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2001,34.55,Units,Rate per 100 of Population,Estimated value,Free,32.55,36.82,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2002,34.64,Units,Rate per 100 of Population,Estimated value,Free,32.63,37.16,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2003,34.77,Units,Rate per 100 of Population,Estimated value,Free,32.89,37.15,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2004,34.83,Units,Rate per 100 of Population,Estimated value,Free,32.93,36.81,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2005,34.77,Units,Rate per 100 of Population,Estimated value,Free,32.69,37.24,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2006,34.67,Units,Rate per 100 of Population,Estimated value,Free,32.42,36.99,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2007,34.32,Units,Rate per 100 of Population,Estimated value,Free,32.24,36.48,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2008,25.55,Units,Rate per 100 of Population,Estimated value,Free,19.58,29.33,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2009,26.32,Units,Rate per 100 of Population,Estimated value,Free,21.06,29.77,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2010,22.09,Units,Rate per 100 of Population,Estimated value,Free,14.18,26.72,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2011,22.5,Units,Rate per 100 of Population,Estimated value,Free,14.88,26.94,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2012,24.17,Units,Rate per 100 of Population,Estimated value,Free,17.17,28.1,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2013,20.04,Units,Rate per 100 of Population,Estimated value,Free,11.11,25,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2014,24.91,Units,Rate per 100 of Population,Estimated value,Free,17.33,28.97,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2015,25.04,Units,Rate per 100 of Population,Estimated value,Free,17.15,28.93,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2016,21.54,Units,Rate per 100 of Population,Estimated value,Free,11.63,26.72,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2017,20.05,Units,Rate per 100 of Population,Estimated value,Free,8.45,25.63,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2018,18.83,Units,Rate per 100 of Population,Estimated value,Free,6.03,25.2,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Algeria,Mother-to-child HIV transmission rate,Total,2019,17.8,Units,Rate per 100 of Population,Estimated value,Free,4.99,24.56,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2000,39.56,Units,Rate per 100 of Population,Estimated value,Free,36.17,42.86,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2001,39.31,Units,Rate per 100 of Population,Estimated value,Free,36.3,42.65,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2002,38.91,Units,Rate per 100 of Population,Estimated value,Free,35.83,42.22,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2003,38.57,Units,Rate per 100 of Population,Estimated value,Free,35.43,41.79,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2004,37.84,Units,Rate per 100 of Population,Estimated value,Free,35.01,40.93,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2005,36.94,Units,Rate per 100 of Population,Estimated value,Free,34.35,39.78,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2006,34.83,Units,Rate per 100 of Population,Estimated value,Free,32.09,37.68,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2007,34.39,Units,Rate per 100 of Population,Estimated value,Free,31.85,36.83,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2008,33.1,Units,Rate per 100 of Population,Estimated value,Free,30.82,35.38,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2009,32.27,Units,Rate per 100 of Population,Estimated value,Free,29.99,34.46,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2010,31.27,Units,Rate per 100 of Population,Estimated value,Free,28.91,33.12,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2011,31.55,Units,Rate per 100 of Population,Estimated value,Free,29.18,33.54,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2012,30.62,Units,Rate per 100 of Population,Estimated value,Free,28.5,32.84,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2013,27.33,Units,Rate per 100 of Population,Estimated value,Free,25.38,29.22,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2014,23.88,Units,Rate per 100 of Population,Estimated value,Free,21.99,26.07,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2015,23.72,Units,Rate per 100 of Population,Estimated value,Free,21.89,25.77,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2016,24.59,Units,Rate per 100 of Population,Estimated value,Free,22.7,26.62,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2017,25.45,Units,Rate per 100 of Population,Estimated value,Free,23.62,27.43,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2018,23.52,Units,Rate per 100 of Population,Estimated value,Free,21.45,25.81,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Angola,Mother-to-child HIV transmission rate,Total,2019,19.37,Units,Rate per 100 of Population,Estimated value,Free,15.35,22.13,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2000,3.05,Units,Rate per 100 of Population,Estimated value,Free,2.56,3.52,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2001,3.05,Units,Rate per 100 of Population,Estimated value,Free,2.64,3.45,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2002,3.09,Units,Rate per 100 of Population,Estimated value,Free,2.67,3.52,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2003,3.15,Units,Rate per 100 of Population,Estimated value,Free,2.78,3.6,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2004,3.34,Units,Rate per 100 of Population,Estimated value,Free,2.89,3.83,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2005,3.45,Units,Rate per 100 of Population,Estimated value,Free,3.05,3.91,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2006,3.55,Units,Rate per 100 of Population,Estimated value,Free,3.04,4.08,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2007,3.63,Units,Rate per 100 of Population,Estimated value,Free,3.14,4.13,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2008,3.68,Units,Rate per 100 of Population,Estimated value,Free,3.21,4.18,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2009,3.71,Units,Rate per 100 of Population,Estimated value,Free,3.16,4.28,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2010,3.8,Units,Rate per 100 of Population,Estimated value,Free,3.26,4.42,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2011,3.83,Units,Rate per 100 of Population,Estimated value,Free,3.3,4.49,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2012,3.82,Units,Rate per 100 of Population,Estimated value,Free,3.22,4.43,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2013,3.77,Units,Rate per 100 of Population,Estimated value,Free,3.18,4.34,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2014,3.69,Units,Rate per 100 of Population,Estimated value,Free,3.13,4.33,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
Australia,Mother-to-child HIV transmission rate,Total,2015,3.59,Units,Rate per 100 of Population,Estimated value,Free,3.08,4.25,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2020 estimates,http://aidsinfo.unaids.org/,,,,2000-2019,Total
